ids,clsids,expect_college,expect_edu_raw,linking_idx,teacher_praise,teacher_talk,bonding_idx,ses_self,hukou_type,cog_score
37,2,1.0,9.0,-0.013202298435630477,3.0,0.0,1.286834124718174,1969.0,1.0,28
38,2,1.0,7.0,-0.013202298435630477,3.0,0.0,0.7871015438149604,1963.0,0.0,26
39,2,1.0,7.0,0.9829678606700738,2.0,1.0,0.7871015438149604,0.0,1.0,27
40,2,1.0,7.0,3.401448467002692,4.0,1.0,1.7865667056213879,1968.0,0.0,22
41,2,1.0,8.0,2.9983683659472558,3.6666666666666665,1.0,1.286834124718174,1972.0,1.0,17
43,2,1.0,9.0,1.1960380047306787,4.0,0.0,-1.2118287797978933,1973.0,1.0,12
44,2,1.0,8.0,0.9829678606700738,2.0,1.0,-0.7120961988946796,1.0,1.0,28
45,2,1.0,7.0,1.1960380047306787,4.0,0.0,0.7871015438149604,1972.0,0.0,23
46,2,1.0,10.0,-0.22627244249623524,1.0,1.0,0.28736896291174746,1.0,0.0,34
47,2,1.0,9.0,1.1960380047306787,4.0,0.0,1.286834124718174,1974.0,1.0,33
48,2,1.0,8.0,1.7891280627809465,2.6666666666666665,1.0,0.28736896291174746,0.0,0.0,25
50,2,1.0,7.0,-0.013202298435630477,3.0,0.0,0.28736896291174746,1974.0,1.0,21
51,2,1.0,8.0,2.5952882648918196,3.3333333333333335,1.0,0.7871015438149604,1973.0,1.0,26
52,2,1.0,8.0,-0.41628239949106705,2.6666666666666665,0.0,-0.21236361799146622,1407.6785714285713,1.0,28
53,2,1.0,8.0,2.192208163836383,3.0,1.0,1.286834124718174,1.0,0.0,32
54,2,1.0,8.0,0.389877802619806,3.3333333333333335,0.0,1.7865667056213879,1973.0,1.0,33
55,2,1.0,9.0,1.1960380047306787,4.0,0.0,0.7871015438149604,1966.0,1.0,34
56,2,1.0,8.0,-0.013202298435630477,3.0,0.0,0.28736896291174746,1974.0,0.0,24
57,2,1.0,9.0,-0.013202298435630477,3.0,0.0,0.7871015438149604,1969.0,1.0,31
58,2,1.0,7.0,-0.013202298435630477,3.0,0.0,1.7865667056213879,1407.6785714285713,1.0,25
59,2,1.0,7.0,1.7891280627809465,2.6666666666666665,1.0,0.28736896291174746,1973.0,0.0,15
60,2,1.0,7.0,2.9983683659472558,3.6666666666666665,1.0,2.7860318674278144,1963.0,1.0,29
61,2,1.0,8.0,1.3860479617255104,2.3333333333333335,1.0,-0.7120961988946796,0.0,1.0,32
62,2,1.0,7.0,2.192208163836383,3.0,1.0,1.286834124718174,1973.0,1.0,29
63,2,1.0,7.0,-0.013202298435630477,3.0,0.0,1.286834124718174,0.0,0.0,22
64,2,1.0,10.0,2.192208163836383,3.0,1.0,0.7871015438149604,1977.0,1.0,34
119,5,1.0,8.0,3.401448467002692,4.0,1.0,2.7860318674278144,1971.0,0.0,33
120,5,1.0,7.0,2.192208163836383,3.0,1.0,0.28736896291174746,1624.735294117647,0.0,25
121,5,1.0,8.0,2.192208163836383,3.0,1.0,0.28736896291174746,1966.0,0.0,31
122,5,1.0,7.0,2.192208163836383,3.0,1.0,2.7860318674278144,1.0,1.0,27
123,5,1.0,9.0,-0.013202298435630477,3.0,0.0,0.28736896291174746,1974.0,0.0,30
124,5,1.0,9.0,2.192208163836383,3.0,1.0,0.28736896291174746,0.0,0.0,31
126,5,1.0,9.0,0.389877802619806,3.3333333333333335,0.0,0.7871015438149604,1974.0,1.0,33
127,5,1.0,9.0,3.401448467002692,4.0,1.0,0.7871015438149604,1624.735294117647,1.0,33
