ids,clsids,expect_college,expect_edu_raw,linking_idx,teacher_praise,teacher_talk,bonding_idx,hukou_type,cog_score,ses_self,ses_pca,ses_pca_group,parent_edu_max,family_econ,home_books,has_desk,has_computer
18399,420,0.0,6.0,1.196038004730679,4.0,0.0,1.286834124718174,0.0,24,0.0,-0.5880023540591298,0,6.0,2.0,3.0,1.0,0.6666666666666666
18400,420,0.0,6.0,0.5798877596146376,1.6666666666666667,1.0,-0.7120961988946796,1.0,24,0.0,-3.328303398663326,0,3.0,2.0,1.0,0.0,0.6666666666666666
18401,420,0.0,5.0,-0.8193625005465031,2.333333333333333,0.0,-0.2123636179914662,0.0,20,0.0,-0.8144013182565264,0,2.0,3.0,3.0,1.0,0.6666666666666666
18402,420,0.0,6.0,2.192208163836383,3.0,1.0,0.7871015438149604,0.0,13,0.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18403,420,0.0,5.0,2.192208163836383,3.0,1.0,1.286834124718174,1.0,14,0.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18404,420,0.0,5.0,-0.0132022984356304,3.0,0.0,1.786566705621388,0.0,19,1.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
18405,420,1.0,7.0,-0.0132022984356304,3.0,0.0,-0.7120961988946796,0.0,31,0.0,-1.6953076701025842,0,2.0,3.0,1.0,1.0,0.6666666666666666
18406,420,1.0,7.0,-2.028602803712812,1.3333333333333333,0.0,-0.7120961988946796,1.0,23,0.0,-2.64551599335795,0,3.0,3.0,1.0,0.0,0.6666666666666666
18407,420,1.0,8.0,-0.8193625005465031,2.333333333333333,0.0,0.7871015438149604,0.0,21,0.0,-0.1466515499578042,0,3.0,3.0,4.0,1.0,0.6666666666666666
18408,420,1.0,8.0,2.192208163836383,3.0,1.0,0.7871015438149604,0.0,21,0.0,-0.8144013182565264,0,2.0,3.0,3.0,1.0,0.6666666666666666
18409,420,1.0,9.0,-0.416282399491067,2.6666666666666665,0.0,-0.2123636179914662,0.0,24,0.0,-2.0961224823791964,0,3.0,2.0,2.0,1.0,1.0
18410,420,1.0,8.0,-2.028602803712812,1.3333333333333333,0.0,0.2873689629117474,0.0,20,111.94339622641508,-1.9919062338875855,0,2.0,3.0,3.0,0.0,0.6666666666666666
18411,420,1.0,8.0,-1.2224426016019396,2.0,0.0,-0.2123636179914662,0.0,28,0.0,-0.5871047258808331,0,3.0,3.0,3.0,1.0,0.6666666666666666
